County,FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3143 counties)
"United States",00000,8.8,7151167,"N/A"
"California",06000,8.5,776066,"31 of 52"
"Imperial County",06025,18.1,6323,"2,897"
"Kern County",06029,15.5,31925,"2,699"
"Madera County",06039,15.5,5291,"2,697"
"Merced County",06047,15.5,9749,"2,692"
"Fresno County",06019,15.4,35096,"2,690"
"Tulare County",06107,15.0,16505,"2,652"
"Kings County",06031,13.5,4539,"2,468"
"Lassen County",06035,11.8,699,"2,199"
"Glenn County",06021,11.5,792,"2,144"
"Mendocino County",06045,11.5,2390,"2,141"
"Yuba County",06115,11.3,2188,"2,095"
"Tehama County",06103,11.2,1874,"2,051"
"Humboldt County",06023,11.0,3238,"2,021"
"Trinity County",06105,10.9,299,"1,985"
"San Bernardino County",06071,10.8,54570,"1,981"
"Sutter County",06101,10.8,2574,"1,970"
"Stanislaus County",06099,10.8,14029,"1,969"
"Inyo County",06027,10.7,469,"1,957"
"Butte County",06007,10.6,5195,"1,931"
"Siskiyou County",06093,10.5,1145,"1,909"
"Lake County",06033,10.2,1605,"1,841"
"Modoc County",06049,10.2,231,"1,835"
"San Joaquin County",06077,10.1,17982,"1,816"
"Los Angeles County",06037,10.0,221497,"1,783"
"Del Norte County",06015,9.7,615,"1,720"
"Colusa County",06011,9.5,491,"1,663"
"Sacramento County",06067,9.3,34602,"1,615"
"Mariposa County",06043,9.2,415,"1,586"
"Monterey County",06053,9.0,8597,"1,532"
"Mono County",06051,8.8,303,"1,476"
"Riverside County",06065,8.6,48075,"1,425"
"Sierra County",06091,8.2,59,"1,312"
"Calaveras County",06009,8.2,1024,"1,297"
"Shasta County",06089,8.2,3714,"1,288"
"Yolo County",06113,8.0,3813,"1,222"
"Santa Barbara County",06083,7.3,7093,"1,028"
"San Diego County",06073,7.0,53919,"937"
"Alpine County",06003,6.8,19,"872"
"Orange County",06059,6.8,51081,"857"
"Tuolumne County",06109,6.7,895,"830"
"Nevada County",06057,6.4,1669,"738"
"Solano County",06095,6.2,6829,"709"
"Plumas County",06063,6.2,320,"700"
"Santa Cruz County",06087,6.2,3774,"694"
"San Luis Obispo County",06079,6.1,4130,"664"
"Ventura County",06111,6.0,11888,"639"
"El Dorado County",06017,5.9,3062,"602"
"San Benito County",06069,5.8,909,"579"
"Contra Costa County",06013,5.7,16650,"554"
"San Francisco County",06075,5.5,9411,"518"
"Alameda County",06001,5.5,21205,"505"
"Napa County",06055,5.3,1763,"470"
"Sonoma County",06097,5.0,5959,"387"
"Placer County",06061,4.6,4940,"307"
"Amador County",06005,4.3,441,"244"
"Santa Clara County",06085,4.1,18623,"208"
"San Mateo County",06081,3.9,7051,"191"
"Marin County",06041,3.8,2522,"180"
