Geography,Total Population - Estimate,"Total Population - 
Margin of Error",Hispanic or Latino - Estimate,"Hispanic or Latino -
Margin of Error",Hispanic or Latino - Percent,Hispanic or Latino - Percent Margin of Error,"White alone, Not Hispanic or Latino - 
Estimate","White alone, Not Hispanic or Latino -
Margin of Error","White alone, Not Hispanic or Latino - 
Percent","White alone, Not Hispanic or Latino - Percent Margin of Error","Black alone, Not Hispanic or Latino - Estimate","Black alone, Not Hispanic or Latino -
Margin of Error","Black alone, Not Hispanic or Latino - Percent","Black alone, Not Hispanic or Latino - Percent Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Estimate","American Indian and Alaska Native alone, Not Hispanic or Latino - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent Margin of Error","Asian alone, Not Hispanic or Latino - Estimate","Asian alone, Not Hispanic or Latino - 
Margin of Error","Asian alone, Not Hispanic or Latino - Percent","Asian alone, Not Hispanic or Latino - Percent Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Estimate","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent Margin of Error","Some other race alone, Not Hispanic or Latino - 
Estimate","Some other race alone, Not Hispanic or Latino - 
Margin of Error","Some other race alone, Not Hispanic or Latino - 
Percent","Some other race alone, Not Hispanic or Latino - 
Percent Margin of Error","Two or more races alone, Not Hispanic or Latino - Estimate","Two or more races alone, Not Hispanic or Latino - Margin of Error","Two or more races alone, Not Hispanic or Latino - Percent","Two or more races alone, Not Hispanic or Latino - Percent Margin of Error"
California,"39,283,497",*****,"15,327,688",*****,39.0%,*****,"14,605,312","+/-3,168",37.2%,+/-0.1,"2,169,155","+/-6,936",5.5%,+/-0.1,"140,831","+/-2,516",0.4%,+/-0.1,"5,610,931","+/-9,199",14.3%,+/-0.1,"140,788","+/-2,224",0.4%,+/-0.1,"100,119","+/-3,715",0.3%,+/-0.1,"1,188,673","+/-14,463",3.0%,+/-0.1
Alameda County,"1,656,754",*****,"371,019",*****,22.4%,*****,"520,447",+/-487,31.4%,+/-0.1,"171,168","+/-1,541",10.3%,+/-0.1,"5,210",+/-310,0.3%,+/-0.1,"496,006","+/-2,088",29.9%,+/-0.1,"13,277",+/-397,0.8%,+/-0.1,"5,407",+/-852,0.3%,+/-0.1,"74,220","+/-2,515",4.5%,+/-0.2
Alameda city,"78,522",+/-58,"10,051",+/-898,12.8%,+/-1.1,"33,539","+/-1,229",42.7%,+/-1.6,"5,654",+/-710,7.2%,+/-0.9,204,+/-97,0.3%,+/-0.1,"23,491","+/-1,124",29.9%,+/-1.4,269,+/-135,0.3%,+/-0.2,369,+/-146,0.5%,+/-0.2,"4,945",+/-760,6.3%,+/-1.0
Albany city,"19,804",+/-30,"2,973",+/-505,15.0%,+/-2.5,"8,733",+/-569,44.1%,+/-2.9,580,+/-208,2.9%,+/-1.1,126,+/-66,0.6%,+/-0.3,"5,755",+/-559,29.1%,+/-2.8,84,+/-61,0.4%,+/-0.3,359,+/-327,1.8%,+/-1.6,"1,194",+/-231,6.0%,+/-1.2
Ashland CDP,"24,430","+/-1,066","11,080","+/-1,246",45.4%,+/-4.6,"2,777",+/-636,11.4%,+/-2.6,"3,393",+/-748,13.9%,+/-3.0,72,+/-53,0.3%,+/-0.2,"5,866","+/-1,030",24.0%,+/-4.1,113,+/-90,0.5%,+/-0.4,276,+/-385,1.1%,+/-1.6,853,+/-388,3.5%,+/-1.6
Berkeley city,"121,485",+/-55,"13,853",+/-975,11.4%,+/-0.8,"64,781","+/-1,182",53.3%,+/-1.0,"9,324",+/-893,7.7%,+/-0.7,282,+/-104,0.2%,+/-0.1,"25,313","+/-1,097",20.8%,+/-0.9,532,+/-211,0.4%,+/-0.2,296,+/-113,0.2%,+/-0.1,"7,104",+/-627,5.8%,+/-0.5
Castro Valley CDP,"63,013","+/-1,091","9,480",+/-984,15.0%,+/-1.6,"27,329","+/-1,234",43.4%,+/-1.9,"5,061",+/-924,8.0%,+/-1.4,284,+/-108,0.5%,+/-0.2,"17,089","+/-1,131",27.1%,+/-1.8,252,+/-132,0.4%,+/-0.2,149,+/-104,0.2%,+/-0.2,"3,369",+/-562,5.3%,+/-0.9
Cherryland CDP,"16,066",+/-986,"8,911",+/-978,55.5%,+/-4.3,"2,825",+/-338,17.6%,+/-2.2,"1,984",+/-560,12.3%,+/-3.3,10,+/-12,0.1%,+/-0.1,"1,675",+/-490,10.4%,+/-3.1,401,+/-186,2.5%,+/-1.1,56,+/-88,0.3%,+/-0.5,204,+/-107,1.3%,+/-0.7
Dublin city,"61,240",+/-52,"6,176",+/-797,10.1%,+/-1.3,"19,849",+/-992,32.4%,+/-1.6,"2,148",+/-487,3.5%,+/-0.8,184,+/-84,0.3%,+/-0.1,"29,665",+/-943,48.4%,+/-1.5,218,+/-99,0.4%,+/-0.2,166,+/-161,0.3%,+/-0.3,"2,834",+/-550,4.6%,+/-0.9
Emeryville city,"11,899",+/-30,"1,139",+/-271,9.6%,+/-2.3,"4,794",+/-428,40.3%,+/-3.6,"1,752",+/-311,14.7%,+/-2.6,15,+/-14,0.1%,+/-0.1,"3,388",+/-388,28.5%,+/-3.2,60,+/-51,0.5%,+/-0.4,47,+/-48,0.4%,+/-0.4,704,+/-209,5.9%,+/-1.7
Fairview CDP,"10,532",+/-730,"2,481",+/-521,23.6%,+/-4.5,"3,647",+/-429,34.6%,+/-3.9,"1,888",+/-410,17.9%,+/-3.5,10,+/-13,0.1%,+/-0.1,"1,787",+/-413,17.0%,+/-3.7,1,+/-3,0.0%,+/-0.1,125,+/-95,1.2%,+/-0.9,593,+/-277,5.6%,+/-2.6
