incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,County,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,Site Latitude,Site Longitude
Nob Fire,Y,2024-04-04T10:04:47Z,2023-04-26T10:16:00Z,San Bernardino National Forest,,San Bernardino,"East Blue Ridge and Paiute, south of Wrightwood",,,,,-117.565833,34.293103,Wildfire,8cd5adf0-00de-4f9c-9d5d-2637f7c0972e,https://www.fire.ca.gov/incidents/2023/4/26/nob-fire/,,,2023-04-26,N,False,False,04/26/2023,AQS,60710005,3,4.2,ug/m3 LC,23,Crestline,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,171.0,Met-one BAM-1022 W/PM2.5 SCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,71,34.2431,-117.27235
Nob Fire,Y,2024-04-04T10:04:47Z,2023-04-26T10:16:00Z,San Bernardino National Forest,,San Bernardino,"East Blue Ridge and Paiute, south of Wrightwood",,,,,-117.565833,34.293103,Wildfire,8cd5adf0-00de-4f9c-9d5d-2637f7c0972e,https://www.fire.ca.gov/incidents/2023/4/26/nob-fire/,,,2023-04-26,N,False,False,04/26/2023,AQS,60710027,1,15.6,ug/m3 LC,63,Ontario-Route 60 Near Road,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,71,34.030833,-117.61722
Nob Fire,Y,2024-04-04T10:04:47Z,2023-04-26T10:16:00Z,San Bernardino National Forest,,San Bernardino,"East Blue Ridge and Paiute, south of Wrightwood",,,,,-117.565833,34.293103,Wildfire,8cd5adf0-00de-4f9c-9d5d-2637f7c0972e,https://www.fire.ca.gov/incidents/2023/4/26/nob-fire/,,,2023-04-26,N,False,False,04/26/2023,AQS,60710306,1,8.3,ug/m3 LC,46,Victorville-Park Avenue,3,300.0,88101,PM2.5 - Local Conditions,117.0,R & P Model 2000 PM2.5 Sampler w/WINS,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,71,34.5109611108812,-117.32554
Nob Fire,Y,2024-04-04T10:04:47Z,2023-04-26T10:16:00Z,San Bernardino National Forest,,San Bernardino,"East Blue Ridge and Paiute, south of Wrightwood",,,,,-117.565833,34.293103,Wildfire,8cd5adf0-00de-4f9c-9d5d-2637f7c0972e,https://www.fire.ca.gov/incidents/2023/4/26/nob-fire/,,,2023-04-26,N,False,False,04/26/2023,AQS,60710306,2,8.9,ug/m3 LC,49,Victorville-Park Avenue,1,100.0,88101,PM2.5 - Local Conditions,170.0,Met One BAM-1020 Mass Monitor w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,71,34.5109611108812,-117.32554
Nob Fire,Y,2024-04-04T10:04:47Z,2023-04-26T10:16:00Z,San Bernardino National Forest,,San Bernardino,"East Blue Ridge and Paiute, south of Wrightwood",,,,,-117.565833,34.293103,Wildfire,8cd5adf0-00de-4f9c-9d5d-2637f7c0972e,https://www.fire.ca.gov/incidents/2023/4/26/nob-fire/,,,2023-04-26,N,False,False,04/26/2023,AQS,60718001,3,3.3,ug/m3 LC,18,Big Bear,1,100.0,88101,PM2.5 - Local Conditions,209.0,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,71,34.2646400008783,-116.86147
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60650009,1,9.6,ug/m3 LC,52,Pechanga,1,100.0,88101,PM2.5 - Local Conditions,170.0,Met One BAM-1020 Mass Monitor w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.4478670008682,-117.088649
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60650012,3,12.2,ug/m3 LC,57,Banning Airport,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,731.0,Met-One BAM-1020 W/PM2.5 SCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.92086,-116.85841
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60650016,3,12.9,ug/m3 LC,58,Temecula,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,731.0,Met-One BAM-1020 W/PM2.5 SCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.5830180008699,-117.072202
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60650500,1,14.1,ug/m3 LC,60,29 Palms,1,100.0,88101,PM2.5 - Local Conditions,238.0,Teledyne T640X at 16.67 LPM,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.7196900008716,-116.1897
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60650500,21,13.2,ug/m3 LC,59,29 Palms,1,100.0,88101,PM2.5 - Local Conditions,738.0,Teledyne T640X at 16.67 LPM (Corrected),40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.7196900008716,-116.1897
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60651016,1,7.2,ug/m3 LC,40,Morongo Air Monitoring Station,1,100.0,88101,PM2.5 - Local Conditions,170.0,Met One BAM-1020 Mass Monitor w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.9447129,-116.830074
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60655001,1,10.7,ug/m3 LC,54,Palm Springs,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.85275,-116.54101
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60658001,1,18.3,ug/m3 LC,68,Rubidoux,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.9995800008751,-117.41601
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60658001,3,18.8,ug/m3 LC,69,Rubidoux,1,100.0,88101,PM2.5 - Local Conditions,170.0,Met One BAM-1020 Mass Monitor w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.9995800008751,-117.41601
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60658005,3,17.8,ug/m3 LC,67,Mira Loma (Van Buren),1,100.0,88101,PM2.5 - Local Conditions,170.0,Met One BAM-1020 Mass Monitor w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.996360000875,-117.4924
66 Fire,Y,2023-05-28T15:35:24Z,2023-05-15T12:10:00Z,CAL FIRE Riverside Unit,,Riverside,Ave 66 and Hwy 86,127.0,100.0,,,-116.092746,33.569342,Wildfire,a56115f1-5eca-4dc1-b576-cbeb67ed4b5b,https://www.fire.ca.gov/incidents/2023/5/15/66-fire/,2023-05-18T19:00:00Z,2023-05-18,2023-05-15,N,True,False,05/15/2023,AQS,60659001,3,11.2,ug/m3 LC,55,Lake Elsinore,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,731.0,Met-One BAM-1020 W/PM2.5 SCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.67649,-117.33098
Johnson Fire,Y,2023-05-23T10:23:19Z,2023-05-20T20:34:18Z,CAL FIRE / Riverside County Fire and Bureau of Indian Affairs,,Riverside,"Johnson Street and 81st Avenue, Mecca",,,,,-116.0614,33.4626,Wildfire,372264df-a6df-41b0-91b1-6b1ed6547a11,https://www.fire.ca.gov/incidents/2023/5/20/johnson-fire/,2023-05-23T10:23:13Z,2023-05-23,2023-05-20,N,False,False,05/20/2023,AQS,60650009,1,9.0,ug/m3 LC,50,Pechanga,1,100.0,88101,PM2.5 - Local Conditions,170.0,Met One BAM-1020 Mass Monitor w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.4478670008682,-117.088649
Johnson Fire,Y,2023-05-23T10:23:19Z,2023-05-20T20:34:18Z,CAL FIRE / Riverside County Fire and Bureau of Indian Affairs,,Riverside,"Johnson Street and 81st Avenue, Mecca",,,,,-116.0614,33.4626,Wildfire,372264df-a6df-41b0-91b1-6b1ed6547a11,https://www.fire.ca.gov/incidents/2023/5/20/johnson-fire/,2023-05-23T10:23:13Z,2023-05-23,2023-05-20,N,False,False,05/20/2023,AQS,60650012,3,12.5,ug/m3 LC,57,Banning Airport,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,731.0,Met-One BAM-1020 W/PM2.5 SCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.92086,-116.85841
Johnson Fire,Y,2023-05-23T10:23:19Z,2023-05-20T20:34:18Z,CAL FIRE / Riverside County Fire and Bureau of Indian Affairs,,Riverside,"Johnson Street and 81st Avenue, Mecca",,,,,-116.0614,33.4626,Wildfire,372264df-a6df-41b0-91b1-6b1ed6547a11,https://www.fire.ca.gov/incidents/2023/5/20/johnson-fire/,2023-05-23T10:23:13Z,2023-05-23,2023-05-20,N,False,False,05/20/2023,AQS,60650016,3,14.3,ug/m3 LC,61,Temecula,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,731.0,Met-One BAM-1020 W/PM2.5 SCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.5830180008699,-117.072202
Johnson Fire,Y,2023-05-23T10:23:19Z,2023-05-20T20:34:18Z,CAL FIRE / Riverside County Fire and Bureau of Indian Affairs,,Riverside,"Johnson Street and 81st Avenue, Mecca",,,,,-116.0614,33.4626,Wildfire,372264df-a6df-41b0-91b1-6b1ed6547a11,https://www.fire.ca.gov/incidents/2023/5/20/johnson-fire/,2023-05-23T10:23:13Z,2023-05-23,2023-05-20,N,False,False,05/20/2023,AQS,60650500,1,8.6,ug/m3 LC,48,29 Palms,1,100.0,88101,PM2.5 - Local Conditions,238.0,Teledyne T640X at 16.67 LPM,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.7196900008716,-116.1897
Johnson Fire,Y,2023-05-23T10:23:19Z,2023-05-20T20:34:18Z,CAL FIRE / Riverside County Fire and Bureau of Indian Affairs,,Riverside,"Johnson Street and 81st Avenue, Mecca",,,,,-116.0614,33.4626,Wildfire,372264df-a6df-41b0-91b1-6b1ed6547a11,https://www.fire.ca.gov/incidents/2023/5/20/johnson-fire/,2023-05-23T10:23:13Z,2023-05-23,2023-05-20,N,False,False,05/20/2023,AQS,60650500,21,7.7,ug/m3 LC,43,29 Palms,1,100.0,88101,PM2.5 - Local Conditions,738.0,Teledyne T640X at 16.67 LPM (Corrected),40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.7196900008716,-116.1897
Johnson Fire,Y,2023-05-23T10:23:19Z,2023-05-20T20:34:18Z,CAL FIRE / Riverside County Fire and Bureau of Indian Affairs,,Riverside,"Johnson Street and 81st Avenue, Mecca",,,,,-116.0614,33.4626,Wildfire,372264df-a6df-41b0-91b1-6b1ed6547a11,https://www.fire.ca.gov/incidents/2023/5/20/johnson-fire/,2023-05-23T10:23:13Z,2023-05-23,2023-05-20,N,False,False,05/20/2023,AQS,60651016,1,6.4,ug/m3 LC,36,Morongo Air Monitoring Station,1,100.0,88101,PM2.5 - Local Conditions,170.0,Met One BAM-1020 Mass Monitor w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,33.9447129,-116.830074
